stratum	term	class	category	file	line_no	speaker	utterance	tokens_marked
extended_arg	aunt	argument	extended	HSLLD/HV5/MT/kurmt5.cha	1831	SIS	probably Aunt Bonnie [?] !	probably [[Aunt]] Bonnie ? !
extended_arg	son	argument	extended	Gelman/2014-IndDiff/03P-R1.cha	113	MOT	well I like to eat popcorn a lot when we watch movies with my son .	well I like to eat popcorn a lot when we watch movies with my [[son]] .
extended_arg	brother	argument	extended	Gopnik/game/g01312.cha	236	INT	does your brother like it ?	does your [[brother]] like it ?
extended_arg	grandma	argument	extended	Kuczaj/021130.cha	73	MOT	tell Grandma where you see these kind of things Abe .	tell [[Grandma]] where you see these kind of things Abe .
extended_arg	sister	argument	extended	Nippold/IR.cha	30	INV	are they brothers or sisters ?	are they brothers or [[sisters]] ?
extended_arg	sister	argument	extended	MacWhinney/050420d.cha	235	CHI	"then a little boy named Tommy said to little sister named Jenny +""/. 461628_471435"	then a little boy named Tommy said to little [[sister]] named Jenny .
extended_arg	grandpa	argument	extended	Weist/Matt/020310.cha	1358	MOT	grandpa Dale (.) see that's grandma Sharon .	[[grandpa]] Dale . see that's grandma Sharon .
extended_arg	brother	argument	extended	MacWhinney/080321a.cha	211	PAR6	and then the kid his kid the kid and his brother were rotten . 794330_800970	and then the kid his kid the kid and his [[brother]] were rotten .
extended_arg	sister	argument	extended	Snow/030410b.cha	1945	MOT	do you have a sister ? 1382675_1384985	do you have a [[sister]] ?
extended_arg	cousin	argument	extended	Brown/Sarah/040820.cha	408	MOT	my cousin had a baby boy last Sunday .	my [[cousin]] had a baby boy last Sunday .
extended_arg	cousin	argument	extended	HSLLD/HV3/ER/aprer3.cha	76	GRM	oh well I xxx cousin Dawn .	oh well I xxx [[cousin]] Dawn .
extended_arg	aunt	argument	extended	Hall/BlackWork/trc.cha	10975	CHI	one mah [: my] aunt an(d) one &~mah sistah [: sister] das [: that's] my sister , the: other one my aunt .	one mah my [[aunt]] an d one mah sistah sister das that's my sister , the other one my aunt .
extended_arg	sister	argument	extended	Braunwald/020423.cha	485	MOT	you know who my sister is ? 567294_569082	you know who my [[sister]] is ?
extended_arg	uncle	argument	extended	Demetras1/031022.cha	1163	CHI	uncle Craig did it .	[[uncle]] Craig did it .
extended_arg	grandma	argument	extended	McCune/Jase/011100.cha	1756	MOT	talk to grandma . 986983_987483	talk to [[grandma]] .
extended_arg	brother	argument	extended	HSLLD/HV3/ER/joeer3.cha	608	CHI	I don't know who can [?] save him Mario Brothers (.) Two .	I don't know who can ? save him Mario [[Brothers]] . Two .
extended_arg	nana	argument	extended	Brown/Sarah/040118.cha	175	MOT	Nana's got Pierre (.) huh ?	[[Nana's]] got Pierre . huh ?
extended_arg	grandma	argument	extended	Weist/Matt/030421.cha	994	MOT	so we should think about what we wanna do when grandma and grandpa come .	so we should think about what we wanna do when [[grandma]] and grandpa come .
extended_arg	grandma	argument	extended	HSLLD/HV3/MT/bobmt3.cha	108	MOT	remember when I was looking in Time magazine I wanted to show grandma something ?	remember when I was looking in Time magazine I wanted to show [[grandma]] something ?
extended_arg	brother	argument	extended	Suppes/030204.cha	998	CHI	my brother .	my [[brother]] .
extended_arg	uncle	argument	extended	HSLLD/HV1/BR/trubr1.cha	1472	MOT	it looks like the one Uncle Scott made doesn't it ?	it looks like the one [[Uncle]] Scott made doesn't it ?
extended_arg	sister	argument	extended	Post/Tow/020122.cha	1340	SIB	and the sister too .	and the [[sister]] too .
extended_arg	brother	argument	extended	Braunwald/031117.cha	133	SIS	0 [=! gasps] because Awww [% friend] wanted a sister and Cwww [% friend] wanted a brother . 86601_90711	! gasps because Awww friend wanted a sister and Cwww friend wanted a [[brother]] .
extended_arg	grandpa	argument	extended	Gelman/2004-Gender/33.cha	1687	CHI	grandpa and me .	[[grandpa]] and me .
extended_arg	grandfather	argument	extended	Brown/Adam/030318.cha	2484	CHI	grandfather came .	[[grandfather]] came .
extended_arg	aunt	argument	extended	Weist/Emily/020606.cha	1607	CAR	what'd Aunt_Carey do ? 972322_974035	what'd [[Aunt]] Carey do ?
